Drug1,Drug2,Increase Activity Interaction,Decrease Activity Interaction,Increase Effect Interaction,Decrease Effect Interaction,Increase Efficacy Interaction,Decrease Efficacy Interaction,Other Interaction
DB00334,DB11699,1,0,0,0,0,0,0
DB00334,DB11675,1,0,0,0,0,0,0
DB00334,DB06077,1,0,0,0,0,0,0
DB00334,DB05316,0,0,0,0,0,0,0
DB00334,DB08996,1,0,0,0,0,0,0
DB00334,DB01626,1,0,0,0,0,0,0
DB00334,DB01191,0,0,0,0,0,0,1
DB00334,DB06506,0,0,0,0,0,0,1
DB00334,DB00751,1,0,0,0,0,0,0
DB00334,DB08811,1,0,0,0,0,0,0
DB00334,DB04829,1,0,0,0,0,0,0
DB00334,DB13384,1,0,0,0,0,0,0
DB00334,DB04946,1,0,0,0,0,0,0
DB00334,DB00408,1,0,0,0,0,0,0
DB00334,DB06700,0,0,1,0,0,0,0
DB00334,DB13246,1,0,0,0,0,0,0
DB00334,DB14185,1,0,0,0,0,0,0
DB00334,DB00434,1,0,0,0,0,0,0
DB00334,DB11732,0,0,1,0,0,0,0
DB00334,DB00206,1,0,0,0,0,0,0
DB00334,DB06204,1,0,0,0,0,0,0
DB00334,DB09023,1,0,0,0,0,0,0
DB00334,DB01367,0,0,0,0,0,1,0
DB00334,DB14754,0,0,1,0,0,0,0
DB00334,DB01224,1,0,0,0,0,0,0
DB00334,DB00216,1,0,0,0,0,0,0
DB00334,DB01616,1,0,0,0,0,0,0
DB00334,DB00458,0,0,0,0,0,0,0
DB00334,DB06582,1,0,0,0,0,0,0
DB00334,DB01577,0,1,0,0,0,0,0
DB00334,DB01445,1,0,0,0,0,0,0
DB00334,DB04832,0,0,1,0,0,0,0
DB00334,DB12465,1,0,0,0,0,0,0
DB00334,DB00490,1,0,0,0,0,0,0
DB00334,DB13014,1,0,0,0,0,0,0
DB00334,DB00477,1,0,0,0,0,0,0
DB00334,DB00656,0,0,1,0,0,0,0
DB00334,DB01149,1,0,0,0,0,0,0
DB00334,DB13352,1,0,0,0,0,0,0
DB00334,DB09184,1,0,0,0,0,0,0
DB00334,DB01049,1,0,0,0,0,0,0
DB00334,DB00924,0,0,1,0,0,0,0
DB00334,DB00285,0,0,1,0,0,0,0
DB00334,DB06660,1,0,0,0,0,0,0
DB00334,DB00969,1,0,0,0,0,0,0
DB00334,DB00866,1,0,0,0,0,0,0
DB00334,DB01356,1,0,0,0,0,0,0
DB00334,DB01247,1,0,0,0,0,0,0
DB00334,DB06731,0,0,1,0,0,0,0
DB00334,DB00321,1,0,0,0,0,0,0
DB00334,DB08550,1,0,0,0,0,0,0
DB00334,DB04917,1,0,0,0,0,0,0
DB00334,DB00777,1,0,0,0,0,0,0
DB00334,DB06216,1,0,0,0,0,0,0
DB00334,DB04871,0,0,0,0,0,0,1
DB00334,DB00714,0,0,0,0,0,1,0
DB00334,DB00476,0,0,1,0,0,0,0
DB00334,DB00420,1,0,0,0,0,0,0
DB00334,DB09014,1,0,0,0,0,0,0
DB00334,DB01621,1,0,0,0,0,0,0
DB00334,DB01069,1,0,0,0,0,0,0
DB00334,DB14509,1,0,0,0,0,0,0
DB00334,DB04599,1,0,0,0,0,0,0
DB00334,DB09241,1,0,0,0,0,0,0
DB00334,DB09249,1,0,0,0,0,0,0
DB00334,DB01614,1,0,0,0,0,0,0
DB00334,DB00377,1,0,0,0,0,0,0
DB00334,DB01359,1,0,0,0,0,0,0
DB00334,DB13520,1,0,0,0,0,0,0
DB00334,DB00248,0,0,0,0,0,1,0
DB00334,DB01954,1,0,0,0,0,0,0
DB00334,DB09253,1,0,0,0,0,0,0
DB00334,DB00679,1,0,0,0,0,0,0
DB00334,DB00669,1,0,0,0,0,0,0
DB00334,DB04842,1,0,0,0,0,0,0
DB00334,DB09251,1,0,0,0,0,0,0
DB00334,DB01267,1,0,0,0,0,0,0
DB00334,DB00614,1,0,0,0,0,0,0
DB00334,DB12661,1,0,0,0,0,0,0
DB00334,DB14010,1,0,0,0,0,0,0
DB00334,DB00604,0,0,0,0,0,0,1
DB00334,DB13219,1,0,0,0,0,0,0
DB00334,DB04885,1,0,0,0,0,0,0
DB00334,DB06109,1,0,0,0,0,0,0
DB00334,DB00540,0,0,0,0,0,0,1
DB00334,DB12427,1,0,0,0,0,0,0
DB00334,DB01454,0,1,0,0,0,0,0
DB00334,DB00889,1,0,0,0,0,0,0
DB00334,DB09186,1,0,0,0,0,0,0
DB00334,DB06512,1,0,0,0,0,0,0
DB00334,DB13457,1,0,0,0,0,0,0
DB00334,DB00953,1,0,0,0,0,0,0
DB00334,DB09061,0,0,1,0,0,0,0
DB00334,DB09248,1,0,0,0,0,0,0
DB00334,DB08810,1,0,0,0,0,0,0
DB00334,DB08918,0,0,1,0,0,0,0
DB00334,DB09254,1,0,0,0,0,0,0
DB00334,DB01171,1,0,0,0,0,0,0
DB00334,DB01200,1,0,0,0,0,0,0
DB00334,DB06153,1,0,0,0,0,0,0
DB00334,DB01037,0,0,0,0,0,1,0
DB00334,DB09225,1,0,0,0,0,0,0
DB00334,DB09167,0,0,0,0,0,0,1
DB00334,DB06148,1,0,0,0,0,0,0
DB00334,DB00315,1,0,0,0,0,0,0
DB00334,DB12110,1,0,0,0,0,0,0
DB00334,DB00234,1,0,0,0,0,0,0
DB00334,DB12111,1,0,0,0,0,0,0
DB00334,DB12071,1,0,0,0,0,0,0
DB00334,DB05227,1,0,0,0,0,0,0
DB00334,DB09290,0,0,1,0,0,0,0
DB00334,DB05562,1,0,0,0,0,0,0
DB00334,DB01175,0,0,1,0,0,0,0
DB00334,DB08815,1,0,0,0,0,0,0
DB00334,DB13496,1,0,0,0,0,0,0
DB00334,DB12930,1,0,0,0,0,0,0
DB00334,DB00320,1,0,0,0,0,0,0
DB00334,DB09190,1,0,0,0,0,0,0
DB00334,DB00543,1,0,0,0,0,0,0
DB00334,DB12229,1,0,0,0,0,0,0
DB00334,DB04908,1,0,0,0,0,0,0
DB00334,DB06701,0,0,0,0,0,1,0
DB00334,DB00574,0,0,0,0,0,1,0
DB00334,DB00805,1,0,0,0,0,0,0
DB00334,DB13588,1,0,0,0,0,0,0
DB00334,DB12395,1,0,0,0,0,0,0
DB00334,DB00514,1,0,0,0,0,0,0
DB00334,DB01442,0,1,0,0,0,0,0
DB00334,DB01168,1,0,0,0,0,0,0
DB00334,DB01484,0,1,0,0,0,0,0
DB00334,DB01403,1,0,0,0,0,0,0
DB00334,DB01253,0,0,0,0,0,1,0
DB00334,DB00960,1,0,0,0,0,0,0
DB00334,DB00454,0,0,1,0,0,0,0
DB00334,DB09250,1,0,0,0,0,0,0
DB00334,DB01114,1,0,0,0,0,0,0
DB00334,DB04820,1,0,0,0,0,0,0
DB00334,DB12951,1,0,0,0,0,0,0
DB00334,DB04836,1,0,0,0,0,0,0
DB12883,DB01186,0,0,1,0,0,0,0
DB12883,DB12693,0,0,1,0,0,0,0
DB12883,DB00734,0,0,1,0,0,0,0
DB12883,DB06594,0,0,1,0,0,0,0
DB12883,DB00726,0,0,1,0,0,0,0
DB12883,DB13782,0,0,1,0,0,0,0
DB12883,DB00998,0,0,1,0,0,0,0
DB12883,DB00813,0,0,1,0,0,0,0
DB12883,DB01156,0,0,1,0,0,0,0
DB12883,DB00696,0,0,1,0,0,0,0
DB12883,DB00934,1,0,0,0,0,0,0
DB12883,DB06288,0,0,1,0,0,0,0
DB12883,DB11957,0,0,1,0,0,0,0
DB12883,DB01624,0,0,1,0,0,0,0
DB12883,DB13948,0,0,1,0,0,0,0
DB12883,DB02959,0,0,1,0,0,0,0
DB12883,DB00344,0,0,1,0,0,0,0
DB12883,DB09226,0,0,1,0,0,0,0
DB12883,DB09016,0,0,1,0,0,0,0
DB12883,DB01239,1,0,0,0,0,0,0
DB12883,DB04821,0,0,1,0,0,0,0
DB12883,DB04818,0,0,1,0,0,0,0
DB12883,DB09243,0,0,1,0,0,0,0
DB12883,DB11755,0,0,1,0,0,0,0
DB12883,DB00391,0,0,1,0,0,0,0
DB12883,DB00579,0,0,1,0,0,0,0
DB12883,DB00472,0,0,1,0,0,0,0
DB12883,DB01509,0,0,1,0,0,0,0
DB12883,DB04948,0,0,0,0,1,0,0
DB12883,DB06480,0,0,0,0,0,0,0
DB12883,DB00176,0,0,1,0,0,0,0
DB12883,DB05271,1,0,0,0,0,0,0
DB12883,DB09247,0,0,1,0,0,0,0
DB12883,DB01079,0,0,1,0,0,0,0
DB12883,DB04896,0,0,1,0,0,0,0
DB12883,DB09244,0,0,1,0,0,0,0
DB12883,DB00601,0,0,1,0,0,0,0
DB12883,DB09187,0,0,1,0,0,0,0
DB12883,DB09307,0,0,1,0,0,0,0
DB12883,DB00508,1,0,0,0,0,0,0
DB12883,DB01151,1,0,0,0,0,0,0
DB12883,DB13225,0,0,1,0,0,0,0
DB12883,DB00865,0,0,1,0,0,0,0
DB12883,DB00589,0,0,1,0,0,0,0
DB12883,DB13940,0,0,1,0,0,0,0
DB12883,DB13550,0,0,1,0,0,0,0
DB12883,DB00933,0,0,1,0,0,0,0
DB12883,DB09042,0,0,0,0,0,0,0
DB12883,DB00715,0,0,1,0,0,0,0
DB12883,DB06684,0,0,1,0,0,0,0
DB12883,DB06654,0,0,1,0,0,0,0
DB12883,DB01242,0,0,1,0,0,0,0
DB12883,DB08953,0,0,1,0,0,0,0
DB12883,DB00780,0,0,1,0,0,0,0
DB12883,DB13876,0,0,1,0,0,0,0
DB12883,DB00904,0,0,1,0,0,0,0
DB12883,DB12833,0,0,1,0,0,0,0
DB12883,DB00752,0,0,1,0,0,0,0
DB12883,DB13114,0,0,1,0,0,0,0
DB12883,DB13273,0,0,1,0,0,0,0
DB12883,DB01392,0,0,1,0,0,0,0
DB12883,DB00952,0,0,1,0,0,0,0
DB12883,DB11859,0,0,1,0,0,0,0
DB12883,DB00837,0,0,1,0,0,0,0
DB12883,DB08059,0,0,1,0,0,0,0
DB12883,DB01238,1,0,0,0,0,0,0
DB12883,DB12163,0,0,1,0,0,0,0
DB12883,DB13875,0,0,1,0,0,0,0
DB12883,DB01104,0,0,1,0,0,0,0
DB12883,DB01142,1,0,0,0,0,0,0
DB12883,DB09185,0,0,1,0,0,0,0
DB12883,DB05542,0,0,1,0,0,0,0
DB12883,DB00721,0,0,1,0,0,0,0
DB12883,DB11686,0,0,1,0,0,0,0
DB12883,DB05607,0,0,1,0,0,0,0
DB12883,DB01622,0,0,1,0,0,0,0
DB12883,DB08839,0,0,1,0,0,0,0
DB12883,DB00875,1,0,0,0,0,0,0
DB12883,DB11699,0,0,1,0,0,0,0
DB12883,DB11675,0,0,1,0,0,0,0
DB12883,DB06077,0,0,1,0,0,0,0
DB12883,DB05316,0,0,0,0,0,0,0
DB12883,DB08996,0,0,1,0,0,0,0
DB12883,DB01626,0,0,1,0,0,0,0
DB12883,DB01191,0,0,1,0,0,0,0
DB12883,DB06506,0,0,0,0,0,0,0
DB12883,DB00751,0,0,1,0,0,0,0
DB12883,DB08811,0,0,1,0,0,0,0
DB12883,DB04829,0,0,1,0,0,0,0
DB12883,DB13384,0,0,1,0,0,0,0
DB12883,DB04946,0,0,1,0,0,0,0
DB12883,DB00408,0,0,1,0,0,0,0
DB12883,DB06700,0,0,1,0,0,0,0
DB12883,DB13246,0,0,1,0,0,0,0
DB12883,DB14185,0,0,1,0,0,0,0
DB12883,DB00434,1,0,0,0,0,0,0
DB12883,DB11732,0,0,1,0,0,0,0
DB12883,DB00206,0,0,1,0,0,0,0
DB12883,DB06204,1,0,0,0,0,0,0
DB12883,DB09023,1,0,0,0,0,0,0
DB12883,DB01367,0,0,1,0,0,0,0
DB12883,DB14754,0,0,1,0,0,0,0
DB12883,DB01224,1,0,0,0,0,0,0
DB12883,DB00216,0,0,1,0,0,0,0
DB12883,DB01616,0,0,1,0,0,0,0
DB12883,DB00458,1,0,0,0,0,0,0
DB12883,DB06582,0,0,1,0,0,0,0
DB12883,DB01577,0,0,1,0,0,0,0
DB12883,DB01445,0,0,1,0,0,0,0
DB12883,DB04832,0,0,1,0,0,0,0
DB12883,DB12465,0,0,1,0,0,0,0
DB12883,DB00490,0,0,1,0,0,0,0
DB12883,DB13014,0,0,1,0,0,0,0
DB12883,DB00477,1,0,0,0,0,0,0
DB12883,DB00656,0,0,1,0,0,0,0
DB12883,DB01149,0,0,1,0,0,0,0
DB12883,DB13352,0,0,1,0,0,0,0
DB12883,DB09184,0,0,1,0,0,0,0
DB12883,DB01049,0,0,1,0,0,0,0
DB12883,DB00924,0,0,1,0,0,0,0
DB12883,DB00285,0,0,1,0,0,0,0
DB12883,DB06660,0,0,1,0,0,0,0
DB12883,DB00969,0,0,1,0,0,0,0
DB12883,DB00866,0,0,1,0,0,0,0
DB12883,DB01356,0,0,1,0,0,0,0
DB12883,DB01247,0,0,1,0,0,0,0
DB12883,DB06731,0,0,1,0,0,0,0
DB12883,DB00321,1,0,0,0,0,0,0
DB12883,DB08550,0,0,1,0,0,0,0
DB12883,DB04917,0,0,1,0,0,0,0
DB12883,DB00777,1,0,0,0,0,0,0
DB12883,DB06216,0,0,1,0,0,0,0
DB12883,DB04871,0,0,1,0,0,0,0
DB12883,DB00714,0,0,1,0,0,0,0
DB12883,DB00476,0,0,1,0,0,0,0
DB12883,DB00420,1,0,0,0,0,0,0
DB12883,DB09014,0,0,1,0,0,0,0
DB12883,DB01621,0,0,1,0,0,0,0
DB12883,DB01069,1,0,0,0,0,0,0
DB12883,DB14509,0,0,1,0,0,0,0
DB12883,DB04599,0,0,1,0,0,0,0
DB12883,DB09241,1,0,0,0,0,0,0
DB12883,DB09249,0,0,1,0,0,0,0
DB12883,DB01614,0,0,1,0,0,0,0
DB12883,DB00377,0,0,1,0,0,0,0
DB12883,DB01359,0,0,1,0,0,0,0
DB12883,DB13520,0,0,1,0,0,0,0
DB12883,DB00248,0,0,1,0,0,0,0
DB12883,DB01954,0,0,1,0,0,0,0
DB12883,DB09253,0,0,1,0,0,0,0
DB12883,DB00679,0,0,1,0,0,0,0
DB12883,DB00669,0,0,1,0,0,0,0
DB12883,DB04842,0,0,1,0,0,0,0
DB12883,DB09251,0,0,1,0,0,0,0
DB12883,DB01267,0,0,1,0,0,0,0
DB12883,DB00614,0,0,1,0,0,0,0
DB12883,DB12661,0,0,1,0,0,0,0
DB12883,DB14010,0,0,1,0,0,0,0
DB12883,DB00604,0,0,1,0,0,0,0
DB12883,DB13219,0,0,1,0,0,0,0
DB12883,DB04885,0,0,1,0,0,0,0
DB12883,DB06109,0,0,1,0,0,0,0
DB12883,DB00540,1,0,0,0,0,0,0
DB12883,DB12427,0,0,1,0,0,0,0
DB12883,DB01454,0,0,1,0,0,0,0
DB12883,DB00889,0,0,1,0,0,0,0
DB12883,DB09186,0,0,1,0,0,0,0
DB12883,DB06512,0,0,1,0,0,0,0
DB12883,DB13457,0,0,1,0,0,0,0
DB12883,DB00953,0,0,1,0,0,0,0
DB12883,DB09061,0,0,1,0,0,0,0
DB12883,DB09248,0,0,1,0,0,0,0
DB12883,DB08810,0,0,1,0,0,0,0
DB12883,DB08918,0,0,1,0,0,0,0
DB12883,DB09254,0,0,1,0,0,0,0
DB12883,DB01171,0,0,1,0,0,0,0
DB12883,DB01200,0,0,1,0,0,0,0
DB12883,DB06153,1,0,0,0,0,0,0
DB12883,DB01037,0,0,1,0,0,0,0
DB12883,DB09225,0,0,1,0,0,0,0
DB12883,DB09167,1,0,0,0,0,0,0
DB12883,DB06148,0,0,1,0,0,0,0
DB12883,DB00315,0,0,1,0,0,0,0
DB12883,DB12110,0,0,1,0,0,0,0
DB12883,DB00234,0,0,1,0,0,0,0
DB12883,DB12111,0,0,1,0,0,0,0
DB12883,DB12071,0,0,1,0,0,0,0
DB12883,DB05227,0,0,1,0,0,0,0
DB12883,DB09290,0,0,1,0,0,0,0
DB12883,DB05562,0,0,1,0,0,0,0
DB12883,DB01175,0,0,1,0,0,0,0
DB12883,DB08815,0,0,1,0,0,0,0
DB12883,DB13496,0,0,1,0,0,0,0
DB12883,DB12930,0,0,1,0,0,0,0
DB12883,DB00320,0,0,1,0,0,0,0
DB12883,DB09190,0,0,1,0,0,0,0
DB12883,DB00543,1,0,0,0,0,0,0
DB12883,DB12229,0,0,1,0,0,0,0
DB12883,DB04908,0,0,1,0,0,0,0
DB12883,DB06701,0,0,1,0,0,0,0
DB12883,DB00574,0,0,1,0,0,0,0
DB12883,DB00805,0,0,1,0,0,0,0
DB12883,DB13588,0,0,1,0,0,0,0
DB12883,DB12395,0,0,1,0,0,0,0
DB12883,DB00514,0,0,1,0,0,0,0
DB12883,DB01442,0,0,1,0,0,0,0
DB12883,DB01168,0,0,1,0,0,0,0
DB12883,DB01484,0,0,1,0,0,0,0
DB12883,DB01403,1,0,0,0,0,0,0
DB12883,DB01253,0,0,1,0,0,0,0
DB12883,DB00960,0,0,1,0,0,0,0
DB12883,DB00454,0,0,1,0,0,0,0
DB12883,DB09250,0,0,1,0,0,0,0
DB12883,DB01114,0,0,1,0,0,0,0
DB12883,DB04820,0,0,1,0,0,0,0
DB12883,DB12951,0,0,1,0,0,0,0
DB12883,DB04836,0,0,1,0,0,0,0
DB01186,DB12693,0,0,1,0,0,0,0
DB01186,DB00734,0,0,0,0,0,1,0
DB01186,DB06594,0,0,1,0,0,0,0
DB01186,DB00726,1,0,0,0,0,0,0
DB01186,DB13782,1,0,0,0,0,0,0
DB01186,DB00998,1,0,0,0,0,0,0
DB01186,DB00813,0,0,0,0,0,1,0
DB01186,DB01156,0,0,1,0,0,0,0
DB01186,DB00696,0,0,0,0,0,0,1
DB01186,DB00934,1,0,0,0,0,0,0
DB01186,DB06288,0,0,0,0,0,1,0
DB01186,DB11957,0,0,1,0,0,0,0
DB01186,DB01624,0,0,0,0,0,1,0
DB01186,DB13948,0,0,1,0,0,0,0
DB01186,DB02959,0,0,1,0,0,0,0
DB01186,DB00344,1,0,0,0,0,0,0
DB01186,DB09226,0,0,0,0,0,1,0
DB01186,DB09016,1,0,0,0,0,0,0
DB01186,DB01239,0,0,0,0,0,1,0
DB01186,DB04821,0,0,1,0,0,0,0
DB01186,DB04818,1,0,0,0,0,0,0
DB01186,DB09243,1,0,0,0,0,0,0
DB01186,DB11755,1,0,0,0,0,0,0
DB01186,DB00391,0,0,1,0,0,0,0
DB01186,DB00579,0,0,1,0,0,0,0
DB01186,DB00472,0,0,1,0,0,0,0
DB01186,DB01509,0,0,1,0,0,0,0
DB01186,DB04948,0,0,0,0,1,0,0
DB01186,DB06480,0,0,0,0,0,0,0
DB01186,DB00176,0,0,1,0,0,0,0
DB01186,DB05271,1,0,0,0,0,0,0
DB01186,DB09247,0,0,1,0,0,0,0
DB01186,DB01079,0,0,1,0,0,0,0
DB01186,DB04896,0,0,1,0,0,0,0
DB01186,DB09244,1,0,0,0,0,0,0
DB01186,DB00601,0,0,1,0,0,0,0
DB01186,DB09187,0,0,1,0,0,0,0
DB01186,DB09307,1,0,0,0,0,0,0
DB01186,DB00508,1,0,0,0,0,0,0
DB01186,DB01151,1,0,0,0,0,0,0
DB01186,DB13225,1,0,0,0,0,0,0
DB01186,DB00865,1,0,0,0,0,0,0
DB01186,DB00589,0,0,0,1,0,0,0
DB01186,DB13940,0,0,1,0,0,0,0
DB01186,DB13550,0,0,1,0,0,0,0
DB01186,DB00933,0,0,0,0,0,1,0
DB01186,DB09042,0,0,0,0,0,0,0
DB01186,DB00715,0,0,1,0,0,0,0
DB01186,DB06684,1,0,0,0,0,0,0
DB01186,DB06654,1,0,0,0,0,0,0
DB01186,DB01242,1,0,0,0,0,0,0
DB01186,DB08953,0,0,1,0,0,0,0
DB01186,DB00780,1,0,0,0,0,0,0
DB01186,DB13876,1,0,0,0,0,0,0
DB01186,DB00904,0,0,1,0,0,0,0
DB01186,DB12833,0,0,1,0,0,0,0
DB01186,DB00752,1,0,0,0,0,0,0
DB01186,DB13114,1,0,0,0,0,0,0
DB01186,DB13273,0,0,1,0,0,0,0
DB01186,DB01392,0,0,1,0,0,0,0
DB01186,DB00952,1,0,0,0,0,0,0
DB01186,DB11859,0,0,1,0,0,0,0
DB01186,DB00837,0,0,1,0,0,0,0
DB01186,DB08059,0,0,1,0,0,0,0
DB01186,DB01238,0,0,0,1,0,0,0
DB01186,DB12163,0,0,1,0,0,0,0
DB01186,DB13875,1,0,0,0,0,0,0
DB01186,DB01104,0,0,1,0,0,0,0
DB01186,DB01142,1,0,0,0,0,0,0
DB01186,DB09185,0,0,1,0,0,0,0
DB01186,DB05542,0,0,1,0,0,0,0
DB01186,DB00721,1,0,0,0,0,0,0
DB01186,DB11686,0,0,1,0,0,0,0
DB01186,DB05607,0,0,1,0,0,0,0
DB01186,DB01622,0,0,0,0,0,1,0
DB01186,DB08839,0,0,1,0,0,0,0
DB01186,DB00875,0,0,0,0,0,1,0
DB01186,DB11699,0,0,1,0,0,0,0
DB01186,DB11675,0,0,1,0,0,0,0
DB01186,DB06077,0,0,0,0,0,1,0
DB01186,DB05316,0,0,0,0,0,0,0
DB01186,DB08996,1,0,0,0,0,0,0
DB01186,DB01626,1,0,0,0,0,0,0
DB01186,DB01191,0,0,1,0,0,0,0
DB01186,DB06506,0,0,0,0,0,0,0
DB01186,DB00751,0,0,1,0,0,0,0
DB01186,DB08811,0,0,1,0,0,0,0
DB01186,DB04829,1,0,0,0,0,0,0
DB01186,DB13384,1,0,0,0,0,0,0
DB01186,DB04946,0,0,0,0,0,1,0
DB01186,DB00408,0,0,0,0,0,1,0
DB01186,DB06700,0,0,1,0,0,0,0
DB01186,DB13246,1,0,0,0,0,0,0
DB01186,DB14185,0,0,0,0,0,1,0
DB01186,DB00434,1,0,0,0,0,0,0
DB01186,DB11732,0,0,1,0,0,0,0
DB01186,DB00206,0,0,1,0,0,0,0
DB01186,DB06204,1,0,0,0,0,0,0
DB01186,DB09023,1,0,0,0,0,0,0
DB01186,DB01367,1,0,0,0,0,0,0
DB01186,DB14754,0,0,1,0,0,0,0
DB01186,DB01224,0,0,0,0,0,1,0
DB01186,DB00216,1,0,0,0,0,0,0
DB01186,DB01616,0,0,1,0,0,0,0
DB01186,DB00458,1,0,0,0,0,0,0
DB01186,DB06582,0,0,1,0,0,0,0
DB01186,DB01577,1,0,0,0,0,0,0
DB01186,DB01445,0,0,1,0,0,0,0
DB01186,DB04832,0,0,1,0,0,0,0
DB01186,DB12465,0,0,1,0,0,0,0
DB01186,DB00490,0,0,1,0,0,0,0
DB01186,DB13014,0,0,1,0,0,0,0
DB01186,DB00477,0,0,0,0,0,1,0
DB01186,DB00656,0,0,1,0,0,0,0
DB01186,DB01149,0,0,0,0,0,0,1
DB01186,DB13352,0,0,1,0,0,0,0
DB01186,DB09184,0,0,1,0,0,0,0
DB01186,DB01049,0,0,0,1,0,0,0
DB01186,DB00924,0,0,1,0,0,0,0
DB01186,DB00285,0,0,1,0,0,0,0
DB01186,DB06660,0,0,1,0,0,0,0
DB01186,DB00969,0,0,1,0,0,0,0
DB01186,DB00866,0,0,0,0,0,1,0
DB01186,DB01356,0,0,1,0,0,0,0
DB01186,DB01247,1,0,0,0,0,0,0
DB01186,DB06731,0,0,1,0,0,0,0
DB01186,DB00321,1,0,0,0,0,0,0
DB01186,DB08550,1,0,0,0,0,0,0
DB01186,DB04917,0,0,1,0,0,0,0
DB01186,DB00777,0,0,0,0,0,1,0
DB01186,DB06216,0,0,0,0,0,1,0
DB01186,DB04871,0,0,1,0,0,0,0
DB01186,DB00714,0,0,0,1,0,0,0
DB01186,DB00476,0,0,1,0,0,0,0
DB01186,DB00420,0,0,0,0,0,1,0
DB01186,DB09014,0,0,1,0,0,0,0
DB01186,DB01621,0,0,1,0,0,0,0
DB01186,DB01069,1,0,0,0,0,0,0
DB01186,DB14509,0,0,1,0,0,0,0
DB01186,DB04599,0,0,1,0,0,0,0
DB01186,DB09241,1,0,0,0,0,0,0
DB01186,DB09249,1,0,0,0,0,0,0
DB01186,DB01614,0,0,0,0,0,1,0
DB01186,DB00377,0,0,1,0,0,0,0
DB01186,DB01359,0,0,0,0,0,1,0
DB01186,DB13520,0,0,0,1,0,0,0
DB01186,DB00248,0,0,0,1,0,0,0
DB01186,DB01954,0,0,1,0,0,0,0
DB01186,DB09253,1,0,0,0,0,0,0
DB01186,DB00679,0,0,0,0,0,1,0
DB01186,DB00669,1,0,0,0,0,0,0
DB01186,DB04842,0,0,1,0,0,0,0
DB01186,DB09251,1,0,0,0,0,0,0
DB01186,DB01267,0,0,0,0,0,1,0
DB01186,DB00614,1,0,0,0,0,0,0
DB01186,DB12661,0,0,0,0,0,1,0
DB01186,DB14010,1,0,0,0,0,0,0
DB01186,DB00604,0,0,1,0,0,0,0
DB01186,DB13219,0,0,1,0,0,0,0
DB01186,DB04885,0,0,1,0,0,0,0
DB01186,DB06109,0,0,1,0,0,0,0
DB01186,DB00540,1,0,0,0,0,0,0
DB01186,DB12427,0,0,1,0,0,0,0
DB01186,DB01454,0,0,1,0,0,0,0
DB01186,DB00889,0,0,1,0,0,0,0
DB01186,DB09186,0,0,1,0,0,0,0
DB01186,DB06512,0,0,1,0,0,0,0
DB01186,DB13457,0,0,1,0,0,0,0
DB01186,DB00953,1,0,0,0,0,0,0
DB01186,DB09061,0,0,1,0,0,0,0
DB01186,DB09248,1,0,0,0,0,0,0
DB01186,DB08810,1,0,0,0,0,0,0
DB01186,DB08918,0,0,1,0,0,0,0
DB01186,DB09254,1,0,0,0,0,0,0
DB01186,DB01171,1,0,0,0,0,0,0
DB01186,DB01200,0,0,0,1,0,0,0
DB01186,DB06153,0,0,0,0,0,1,0
DB01186,DB01037,1,0,0,0,0,0,0
DB01186,DB09225,0,0,0,0,0,1,0
DB01186,DB09167,1,0,0,0,0,0,0
DB01186,DB06148,0,0,0,0,0,1,0
DB01186,DB00315,1,0,0,0,0,0,0
DB01186,DB12110,0,0,1,0,0,0,0
DB01186,DB00234,0,0,1,0,0,0,0
DB01186,DB12111,0,0,1,0,0,0,0
DB01186,DB12071,0,0,1,0,0,0,0
DB01186,DB05227,0,0,1,0,0,0,0
DB01186,DB09290,0,0,1,0,0,0,0
DB01186,DB05562,1,0,0,0,0,0,0
DB01186,DB01175,0,0,1,0,0,0,0
DB01186,DB08815,0,0,0,0,0,1,0
DB01186,DB13496,1,0,0,0,0,0,0
DB01186,DB12930,1,0,0,0,0,0,0
DB01186,DB00320,0,0,0,1,0,0,0
DB01186,DB09190,0,0,1,0,0,0,0
DB01186,DB00543,1,0,0,0,0,0,0
DB01186,DB12229,0,0,1,0,0,0,0
DB01186,DB04908,1,0,0,0,0,0,0
DB01186,DB06701,0,0,1,0,0,0,0
DB01186,DB00574,0,0,1,0,0,0,0
DB01186,DB00805,1,0,0,0,0,0,0
DB01186,DB13588,0,0,1,0,0,0,0
DB01186,DB12395,0,0,1,0,0,0,0
DB01186,DB00514,0,0,1,0,0,0,0
DB01186,DB01442,0,0,1,0,0,0,0
DB01186,DB01168,1,0,0,0,0,0,0
DB01186,DB01484,0,0,1,0,0,0,0
DB01186,DB01403,1,0,0,0,0,0,0
DB01186,DB01253,1,0,0,0,0,0,0
DB01186,DB00960,0,0,0,0,0,1,0
DB01186,DB00454,0,0,1,0,0,0,0
DB01186,DB09250,1,0,0,0,0,0,0
DB01186,DB01114,0,0,1,0,0,0,0
DB01186,DB04820,1,0,0,0,0,0,0
DB01186,DB12951,0,0,1,0,0,0,0
DB01186,DB04836,1,0,0,0,0,0,0
DB12693,DB00734,0,0,0,0,0,0,1
DB12693,DB06594,0,0,1,0,0,0,0
DB12693,DB00726,0,0,0,0,0,0,1
DB12693,DB13782,0,0,1,0,0,0,0
DB12693,DB00998,0,0,1,0,0,0,0
DB12693,DB00813,0,0,1,0,0,0,0
DB12693,DB01156,0,0,1,0,0,0,0
